#mpa_vJan25_CHOCOPhlAnSGB_202503
clade_name	KINGCO-007-AKQ014A	KINGCO-007-AKQ014B	KINGCO-007-AKQ01A	KINGCO-007-AKQ01B	KINGCO-007-AKQ02A	KINGCO-007-AKQ02B	KINGCO-007-AKQ03A	KINGCO-007-AKQ03B	KINGCO-007-AKQ05A	KINGCO-007-AKQ05B
k__Bacteria|p__Firmicutes|c__CFGB10309	0.025481	0.095598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB88483	0.021511	0.035424	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB11916	0.019521	0.012427	0.0	0.0	0.0	0.0	0.0	0.0	0.000125	0.0
k__Bacteria|p__Firmicutes|c__CFGB2957	0.019477	0.016451	0.0	0.001478	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2837	0.019033	0.050864	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes	0.018514	0.038647	0.0	0.0	0.0	0.0	0.048232	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2834	0.018345	0.010204	0.018149	0.010008	0.0	0.0	0.003836	0.0	0.011081	0.0
k__Bacteria|p__Firmicutes|c__CFGB30287	0.016651	0.03682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3023	0.015096	0.051258	0.336639	0.271437	0.098791	0.795686	0.128909	0.076514	0.19935	0.151378
k__Bacteria|p__Firmicutes|c__CFGB94810	0.014604	0.004907	0.023497	0.376921	0.01133	0.004904	0.013711	0.003136	0.006875	0.010907
k__Bacteria|p__Firmicutes|c__CFGB93792	0.01407	0.037317	0.0	0.005202	0.0	0.726681	0.075532	0.127883	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3038	0.013474	0.050044	0.0	0.009088	0.015161	0.014715	0.129879	0.196007	0.132759	0.035021
k__Bacteria|p__Firmicutes|c__CFGB88649	0.012142	0.001503	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1126	0.012046	0.013304	0.00257	0.000224	0.002129	0.0146	0.165249	0.230603	0.011601	0.001988
k__Bacteria|p__Firmicutes|c__CFGB1262	0.011923	0.028175	0.0	0.016037	0.0	0.110886	0.0	0.0	0.009098	0.029143
k__Bacteria|p__Firmicutes|c__CFGB2959	0.011566	0.0	0.0	0.0	0.0	0.0	0.017444	0.021943	0.013128	0.0
k__Bacteria|p__Firmicutes|c__CFGB79330	0.009916	0.061109	0.09275	0.228674	4.057073	2.809832	0.016784	0.014582	0.041867	0.0
k__Bacteria|p__Firmicutes|c__CFGB9828	0.009737	0.066752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.058533
k__Bacteria|p__Firmicutes|c__CFGB45503	0.009492	0.038201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1011	0.008694	0.021564	0.057445	1.013876	0.141082	0.390188	0.022024	0.048231	0.05769	0.034028
k__Bacteria|p__Firmicutes|c__CFGB36777	0.007874	0.030134	0.046043	0.078944	0.0	0.0	0.0	0.0	0.063411	0.043346
k__Bacteria|p__Firmicutes|c__CFGB94833	0.007715	0.008448	0.002227	0.002898	0.003328	0.033541	0.0	0.005773	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB77220	0.007203	0.010399	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB88349	0.006512	0.002879	0.0	0.018567	0.0	0.0	0.0	0.0	0.004972	0.0
k__Bacteria|p__Firmicutes|c__CFGB3034	0.006216	0.016002	0.006738	0.011905	0.02394	0.109808	0.009976	0.009039	0.016764	0.010413
k__Bacteria|p__Firmicutes|c__CFGB2839	0.006169	0.026607	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3004	0.005854	0.007656	0.0	0.001012	0.0	0.0	0.000664	0.0012	0.00713	0.0
k__Bacteria|p__Firmicutes|c__CFGB1374	0.005568	0.018023	0.018873	0.009495	0.007321	0.045723	0.082095	0.041972	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB82363	0.005412	0.021469	0.010516	0.037832	0.0	0.0	0.0	0.0	0.035207	0.0
k__Bacteria|p__Firmicutes|c__CFGB1311	0.004134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2838	0.003417	0.006056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB9639	0.00335	0.008198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB9644	0.002875	0.003801	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2890	0.002842	0.004204	0.0	0.0	0.0	0.0	1.373432	1.62084	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3057	0.002645	0.026206	0.033117	0.01315	0.288341	0.53749	0.135899	0.092993	0.028132	0.030179
k__Bacteria|p__Firmicutes|c__CFGB2915	0.002054	0.001033	0.0	0.000807	0.0	0.001638	0.0	0.0	0.017947	0.0
k__Bacteria|p__Firmicutes|c__CFGB1359	0.001438	0.004236	0.0	0.0	0.0	0.0	0.0	0.0	0.013327	0.000544
k__Bacteria|p__Firmicutes|c__CFGB4605	0.001211	0.004197	0.0	0.0	0.0	0.0	0.0	0.001745	0.002958	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	14.607824	14.668677	30.766475	37.098183	18.740283	16.162254	15.952345	25.930314	31.251079	16.861017
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales	13.170309	8.641274	24.75824	24.069984	13.652905	12.183983	20.368873	17.126561	9.829705	12.011027
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales	12.517793	12.267528	4.383776	0.617455	3.009299	0.04316	4.542608	3.337345	2.248204	3.052433
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	7.537797	8.568522	2.619356	3.276975	5.321478	4.628094	10.406732	16.244446	12.237802	19.567111
k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales	7.122047	5.278064	0.0	0.833395	0.0	0.0	0.0	0.0	1.390014	0.292917
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales	5.852554	3.679147	1.986964	3.207533	7.598385	13.028246	7.816063	5.016199	2.812436	5.359081
k__Bacteria|p__Firmicutes|c__CFGB10318|o__OFGB10318	5.795788	2.79044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	4.359708	4.174023	0.013012	0.218132	4.20486	1.350055	0.097771	0.612744	0.52278	0.569632
k__Bacteria|p__Firmicutes|c__CFGB84486|o__OFGB84486	2.236763	1.024308	0.0	0.007266	0.0	0.0	0.101596	0.18823	0.420511	0.057901
k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982	2.192133	0.438589	0.0	0.0	0.0	0.0	0.0	0.0	8.218047	1.701114
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	1.689251	2.133024	0.58336	0.565043	2.067934	1.432057	0.946253	2.97394	0.255909	0.205
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales	1.467197	2.434792	0.0	0.0	0.0	0.0	0.0	0.0	4.091608	3.733626
k__Bacteria|p__Firmicutes|c__CFGB94588|o__OFGB94588	1.295854	1.24849	0.0	0.0	10.415553	10.945117	0.651946	1.526727	0.130215	0.0
k__Bacteria|p__Firmicutes|c__CFGB1354|o__OFGB1354	1.153208	0.785765	0.0	0.0	4.703689	1.933239	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3062|o__OFGB3062	0.953653	0.618643	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3054|o__OFGB3054	0.782565	1.273277	0.13049	0.163957	0.211478	0.115478	0.720264	1.099566	0.235246	0.360983
k__Bacteria|p__Firmicutes|c__CFGB79315|o__OFGB79315	0.682575	0.725731	0.116801	0.207995	0.0	0.0	0.0	0.0	0.78415	0.16763
k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales	0.678006	0.97858	1.410529	1.062773	3.360908	5.857766	3.725327	2.885098	1.085652	1.338655
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.677884	1.264462	2.779924	0.194604	0.035756	0.405406	0.174873	0.653966	1.617385	5.910507
k__Bacteria|p__Firmicutes|c__CFGB9119|o__OFGB9119	0.570284	0.500463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Eggerthellales	0.459046	1.057323	1.898968	0.505167	0.803107	1.276835	1.952057	0.920712	0.11253	0.23146
k__Bacteria|p__Firmicutes|c__Clostridia|o__Peptostreptococcales	0.374121	0.402489	1.611472	0.868585	0.018012	0.017229	0.018161	0.727499	0.029738	0.130608
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	0.357069	0.195391	0.606163	1.113545	0.22637	0.258714	0.264995	0.738543	0.0	0.0
k__Bacteria|p__Actinomycetota|c__CFGB77988|o__OFGB77988	0.352822	0.723901	2.098219	0.158141	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2932|o__OFGB2932	0.27924	0.401572	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB94730|o__OFGB94730	0.256387	0.201364	0.0	0.0	0.0	0.0	0.0	0.0	0.044181	0.0
k__Bacteria|p__Firmicutes|c__CFGB2875|o__OFGB2875	0.256098	0.43585	0.0	0.0	0.0	0.0	0.0	0.0	0.117626	0.01195
k__Bacteria|p__Chloroflexota|c__CFGB3041|o__OFGB3041	0.197605	0.475851	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB9989|o__OFGB9989	0.180925	0.243227	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2937|o__OFGB2937	0.167771	0.175991	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765	0.157305	3.13925	1.05518	0.55001	1.356836	2.308497	18.744057	1.520505	0.081324	0.03175
k__Bacteria|p__Firmicutes|c__CFGB72904|o__OFGB72904	0.142228	0.326243	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	0.130055	0.463412	0.0	0.00641	0.100171	0.557757	0.387086	0.294517	0.707184	0.709213
